182changeratio,28changeratio,364changeratio,91changeratio,bonus,code,cps,debt2asset,eps,epsr,name,netprofit,netprofitdate,netprofitr,per,per_d,roe,symbol,vertical,vprofitdesc
-14.65%,11.69%,-11.71%,-0.75%,--,000001,0.43,93.225,0.73,7.35,平安银行,1337200,08-16-2018,6.52,7.569,7.038,6.13,sz000001,商贸业-其他,批发金融业务(1) 零售金融业务-其他业务
73.13%,96.04%,73.74%,80.96%,10派1.74转2,,2.22,,1.73,-6.99,,1980200,03-13-2014,30.01,,,16.35,,,
16.71%,16.30%,19.73%,22.60%,10派1.53转2,,-0.13,,1.56,-9.83,,2186500,03-10-2015,10.42,,,14.94,,,
,,,,10派1.58,,0.64,,1.32,-15.38,,2259900,03-17-2016,3.36,,,13.18,,,
,,,,10派1.36,,-6.92,,1.3,-1.52,,2318900,03-15-2017,2.61,,,11.62,,,
-25.81%,6.79%,-12.08%,-11.47%,--,000002,--,84.7018,0.83,25.76,万科A,912374.32,08-21-2018,24.94,9.181,8.618,6.51,sz000002,房地产行业-物业服务-未分组,房地产-物业管理-其他(补充）
73.13%,96.04%,73.74%,80.96%,10派5,,--,,1.43,4.38,,1574545.41,03-31-2014,4.15,,,19.17,,,
1.45%,11.19%,19.22%,9.36%,10派7.2,,--,,1.64,14.69,,1811940.62,03-14-2015,15.08,,,19.14,,,
,,,,10派7.9,,--,,1.9,15.85,,2102260.63,03-27-2016,16.02,,,19.68,,,
,,,,10派9,,--,,2.54,33.68,,2805181.49,03-27-2017,33.44,,,22.8,,,
-30.22%,-14.38%,-36.77%,-21.74%,--,000004,--,35.5424,0.02,-152.56,国农科技,198.38,08-25-2018,-152.59,155.294,92.849,1.52,sz000004,医药业-未分组,生物医药-移动网络游戏
73.13%,96.04%,73.74%,80.96%,--,,--,,0.05,-506.5,,380.14,04-30-2014,-467.86,,,4.85,,,
-4.58%,-10.85%,-14.26%,-3.33%,--,,--,,0.01,-70.2,,124.71,04-30-2015,-67.19,,,1.54,,,
,,,,--,,--,,0.47,3040.94,,3929.93,04-11-2016,3051.21,,,38.84,,,
,,,,--,,--,,0.1,-78.21,,856.67,04-28-2017,-78.2,,,6.85,,,
-25.81%,1.02%,-43.08%,-6.62%,--,000005,--,50.7775,0.01,-145.83,世纪星源,814.67,08-30-2018,-145.88,204.138,76.093,0.61,sz000005,环保行业-未分组-酒店旅馆业,环保业务收入-其他（补充）-酒店经营、物业管理收入
73.13%,96.04%,73.74%,80.96%,--,,--,,0.05,-201.94,,4316.39,04-11-2014,-201.93,,,6.68,,,
1.45%,5.19%,-22.81%,15.35%,--,,--,,-0.06,-226.27,,-5523.93,04-27-2015,-227.98,,,-8.07,,,
,,,,--,,--,,0.1,-272.15,,10865.74,04-27-2016,-296.7,,,8.94,,,
,,,,--,,--,,0.01,-85.87,,1530.84,04-21-2017,-85.91,,,1.18,,,
-33.63%,-4.83%,-46.44%,-23.87%,--,000006,--,51.1133,0.31,66.63,深振业A,41596.87,08-17-2018,66.65,8.579,7.111,7.2,sz000006,房地产行业,房地产
73.13%,96.04%,73.74%,80.96%,10派1.18,,--,,0.38,-27.02,,50803.07,04-01-2014,-27.02,,,12.17,,,
-9.24%,-0.91%,-27.37%,-5.96%,10派1.2,,--,,0.31,-17.96,,41675.28,03-30-2015,-17.97,,,9.77,,,
,,,,10派1.8,,--,,0.58,86.82,,77858.09,03-30-2016,86.82,,,16.56,,,
,,,,10派1.81,,--,,0.6,3.49,,80563.64,03-30-2017,3.47,,,15.24,,,
-9.54%,-4.64%,-20.87%,-9.81%,--,000007,--,10.9352,-0.03,-152.55,全新好,-1106.74,08-31-2018,-152.59,259.368,-272.566,-2.9,sz000007,undefined,undefined
